                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7472,                  10.35,                0.80845,                  5.147,                 2.6613,                0.74091,                0.08333,                0.04623,                0.01824,                      0,                      0,                      0,                      0,                 2.9774,                 10.887,                0.71444,                 7.9251,                  2.834,             0.00016665,             0.00016665,             0.00016665
                      2,                 2.4076,                 9.8709,                0.59698,                 4.5304,                 2.2446,                0.73854,                0.16101,                0.07927,                0.02671,                      0,                      0,                      0,                      0,                   2.82,                  11.02,                0.32217,                  8.869,                 2.5489,             0.00033759,             0.00033759,             0.00033759
                      3,                 2.4617,                  9.844,                0.54366,                 4.3251,                 2.2202,                0.15457,                0.33333,                0.20633,                0.05144,                      0,                      0,                      0,                      0,                  2.727,                 10.828,                0.25958,                 9.5103,                 2.4004,             0.00050149,             0.00050149,             0.00050149
                      4,                 2.3296,                 9.6034,                0.47016,                 4.0369,                 2.1279,                0.56108,                0.47843,                0.32159,                0.11051,                      0,                      0,                      0,                      0,                 2.8115,                 10.562,                0.26082,                 8.4059,                 2.3631,             0.00065835,             0.00065835,             0.00065835
                      5,                 2.2609,                 9.4806,                 0.4646,                 3.9435,                 2.1334,                0.76803,                0.16667,                 0.1847,                0.05471,                      0,                      0,                      0,                      0,                 2.7741,                 10.935,                0.35546,                  6.371,                 2.6643,             0.00080818,             0.00080818,             0.00080818
                      6,                  2.228,                 9.4892,                0.46393,                 3.8011,                 2.0623,                0.86568,                0.08333,                0.11016,                0.01575,                      0,                      0,                      0,                      0,                 2.6997,                 10.993,                0.50804,                 5.7902,                 2.5446,             0.00095096,             0.00095096,             0.00095096
                      7,                  2.299,                 9.5771,                0.43183,                  3.708,                  2.042,                0.38366,                0.19444,                0.04041,                0.01085,                      0,                      0,                      0,                      0,                 2.7691,                 10.729,                0.32003,                 6.2484,                 2.6204,             0.00097901,             0.00097901,             0.00097901
                      8,                 2.2551,                 9.4096,                0.38357,                 3.5524,                 2.0379,                 0.5106,                0.08333,                0.16935,                0.07014,                      0,                      0,                      0,                      0,                 2.5026,                 10.985,                0.12803,                 4.7356,                 2.4666,             0.00097901,             0.00097901,             0.00097901
                      9,                 2.2014,                 9.3366,                0.37477,                 3.4081,                 2.0154,                0.92821,                0.08333,                0.10985,                0.01927,                      0,                      0,                      0,                      0,                 2.7068,                 11.114,                0.23872,                 6.3591,                 2.6426,             0.00095702,             0.00095702,             0.00095702
                     10,                 2.1891,                 9.3322,                0.39713,                 3.3664,                 2.0002,                0.81995,                0.07664,                0.09308,                0.02263,                      0,                      0,                      0,                      0,                 2.5591,                 10.767,                0.20985,                 5.1707,                 2.4364,             0.00093502,             0.00093502,             0.00093502
                     11,                 2.1767,                 9.1683,                0.38074,                 3.3812,                 2.0011,                0.81529,                0.16667,                0.12025,                0.02638,                      0,                      0,                      0,                      0,                 2.6255,                 11.089,                0.27206,                  4.995,                 2.4249,             0.00091302,             0.00091302,             0.00091302
                     12,                 2.1323,                 9.1816,                0.38573,                 3.3136,                 1.9512,                0.57265,                0.23148,                0.13307,                0.04116,                      0,                      0,                      0,                      0,                 2.5957,                 10.735,                0.12373,                 5.1796,                 2.4165,             0.00089102,             0.00089102,             0.00089102
                     13,                 2.1986,                 9.2099,                0.35081,                 3.2835,                 1.9866,                0.50541,                0.12037,                 0.1416,                0.03266,                      0,                      0,                      0,                      0,                 2.6656,                 10.778,                0.07337,                 4.7085,                 2.2887,             0.00086902,             0.00086902,             0.00086902
                     14,                 2.1163,                 9.1432,                0.35191,                 3.1422,                 1.9507,                0.97313,                0.08333,                0.11456,                0.02827,                      0,                      0,                      0,                      0,                 2.8162,                 11.108,                0.07769,                 4.9743,                 2.5821,             0.00084703,             0.00084703,             0.00084703
                     15,                  2.147,                 8.9868,                0.31813,                 3.0178,                 1.9563,                0.50689,                   0.25,                0.18622,                0.04322,                0.00039,                0.16667,                0.00053,                  5e-05,                 2.5354,                 10.632,                0.05653,                  4.351,                 2.3404,             0.00082503,             0.00082503,             0.00082503
                     16,                 2.0729,                  8.914,                0.34925,                 3.0701,                 1.9142,                0.52549,                   0.25,                0.33599,                0.10723,                      0,                      0,                      0,                      0,                 2.4526,                 10.623,                0.07472,                 3.8244,                  2.326,             0.00080303,             0.00080303,             0.00080303
                     17,                 2.0336,                 8.8112,                0.35862,                 2.9995,                  1.912,                0.56696,                   0.25,                0.16392,                0.04152,                      0,                      0,                      0,                      0,                 2.4403,                 10.692,                0.04982,                 5.6018,                 2.2425,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.9985,                 8.7499,                0.31026,                 2.9632,                 1.9007,                0.44345,                0.42041,                0.12144,                0.03062,                      0,                      0,                      0,                      0,                 2.3848,                 10.676,                0.05098,                 4.8228,                 2.3227,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.9656,                 8.6895,                0.33062,                 2.8321,                  1.881,                0.48633,                   0.25,                0.17635,                0.06038,                      0,                      0,                      0,                      0,                 2.4177,                 10.655,                0.08935,                 4.9994,                 2.3439,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.9994,                 8.8278,                0.35224,                 2.9091,                 1.8933,                0.47685,                   0.25,                0.13584,                0.04024,                      0,                      0,                      0,                      0,                  2.444,                 10.665,                0.14495,                 4.6959,                 2.3606,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.9547,                 8.8175,                0.33943,                 2.7819,                 1.8415,                0.47044,                   0.25,                0.21654,                0.08271,                      0,                      0,                      0,                      0,                 2.5428,                 10.712,                0.13249,                 3.8402,                 2.3893,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.9645,                 8.4698,                 0.2975,                 2.7937,                 1.8161,                0.19298,                0.41667,                0.32726,                0.17289,                0.00038,                0.16667,                 0.0006,                  6e-05,                 2.3638,                 10.801,                0.05804,                 4.1966,                 2.2052,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.9415,                 8.6377,                0.31259,                 2.7849,                 1.8206,                0.46365,                0.56481,                0.39821,                0.19755,                      0,                      0,                      0,                      0,                 2.3447,                 10.924,                0.03904,                 3.8745,                  2.298,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.9107,                 8.5951,                0.34707,                 2.7471,                 1.8039,                0.44153,                0.29803,                0.36789,                 0.1706,                      0,                      0,                      0,                      0,                 2.4739,                 10.743,                0.06163,                 3.6016,                 2.3338,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.9307,                 8.5915,                0.33411,                 2.6961,                 1.8043,                 0.2091,                0.28704,                0.24866,                0.10294,                      0,                      0,                      0,                      0,                 2.5002,                 10.673,                0.08768,                  3.662,                 2.3506,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.9231,                 8.6678,                0.29648,                 2.6584,                 1.7917,                0.51683,                   0.25,                0.22148,                0.08869,                      0,                      0,                      0,                      0,                 2.5709,                 10.442,                0.14824,                 4.2048,                 2.4001,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.9501,                 8.5154,                0.31597,                 2.7053,                  1.839,                 0.5363,                0.27334,                0.36142,                0.16191,                0.01511,                0.16667,                0.02383,                0.00238,                 2.3792,                 10.447,                0.07408,                 3.6342,                 2.2323,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.8971,                  8.444,                0.28072,                 2.5493,                 1.7846,                0.35999,                0.52778,                0.41242,                0.13427,                0.05485,                0.16667,                0.03332,                0.00666,                 2.3679,                 10.551,                 0.0468,                 3.4594,                 2.2427,             0.00053906,             0.00053906,             0.00053906
                     29,                  1.871,                 8.4661,                0.30053,                 2.6123,                 1.7744,                0.52528,                 0.3248,                0.39928,                0.16699,                0.00134,                0.16667,                 0.0048,                0.00048,                 2.3294,                 10.533,                0.06614,                 3.1661,                 2.2035,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.8446,                 8.2312,                 0.3284,                 2.4759,                 1.7286,                0.51043,                0.28704,                0.38488,                0.14999,                0.00115,                0.16667,                   0.01,                  0.001,                 2.4897,                 10.666,                0.04954,                 3.0455,                 2.3074,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.8599,                 8.1976,                0.30224,                 2.4811,                 1.7325,                0.27576,                0.41667,                 0.2906,                0.10808,                      0,                      0,                      0,                      0,                 2.5076,                 10.723,                0.04507,                 3.2805,                 2.3395,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.8663,                 8.0761,                 0.3023,                 2.4226,                 1.7301,                 0.3949,                0.57373,                0.42565,                0.17206,                      0,                      0,                      0,                      0,                 2.3034,                 10.595,                0.04268,                  3.104,                 2.2323,             0.00045107,             0.00045107,             0.00045107
                     33,                 1.7584,                 8.0077,                0.28797,                 2.3728,                 1.6606,                0.39919,                0.56235,                0.47208,                 0.1987,                      0,                      0,                      0,                      0,                 2.2308,                 10.593,                 0.0413,                 2.8473,                  2.159,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.7984,                 8.0783,                0.31083,                 2.3582,                 1.7122,                0.42355,                0.41671,                0.45914,                0.18641,                      0,                      0,                      0,                      0,                 2.3552,                 10.735,                 0.0489,                 2.7961,                 2.2728,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.7685,                 8.0994,                0.31324,                 2.3874,                 1.6926,                0.91394,                0.38609,                0.50382,                0.19408,                      0,                      0,                      0,                      0,                 2.6194,                 10.735,                 0.0614,                 3.0617,                 2.4592,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.7431,                 7.9766,                0.30266,                   2.32,                  1.656,                0.89642,                0.41667,                0.49217,                 0.2532,                0.03395,                0.16667,                0.02131,                0.00213,                 2.3773,                  10.65,                0.07478,                 3.0639,                 2.2661,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.6931,                  7.854,                0.31615,                 2.3585,                 1.6706,                0.53665,                0.39815,                0.41266,                0.19144,                      0,                      0,                      0,                      0,                 2.3312,                 10.597,                0.08365,                 3.2231,                 2.2593,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.7481,                 7.9267,                0.30828,                 2.2971,                 1.6719,                0.34282,                0.60185,                0.36132,                0.17863,                0.00351,                0.16667,                0.01006,                0.00101,                 2.3434,                 10.568,                0.07947,                  3.028,                 2.2684,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.6547,                 7.6044,                0.29614,                 2.2941,                 1.5994,                0.38294,                0.49074,                0.37777,                0.13561,                0.41133,                0.16667,                0.04191,                0.00419,                 2.3691,                 10.486,                0.06449,                 3.0482,                 2.3346,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.6711,                 7.6365,                0.29538,                 2.1863,                 1.6256,                0.41704,                 0.4537,                0.38459,                0.13038,                      0,                      0,                      0,                      0,                  2.365,                  10.59,                0.04868,                 2.9843,                 2.2707,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.6278,                 7.0755,                0.15834,                 2.3157,                 1.6386,                0.45186,                0.28704,                0.27706,                0.10116,                      0,                      0,                      0,                      0,                  2.459,                 10.647,                0.04961,                 2.9413,                 2.3255,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.5802,                 7.0605,                0.15012,                 2.1574,                 1.6375,                0.24593,                0.49074,                0.27104,                0.11028,                 0.0021,                0.16667,                0.01887,                0.00755,                 2.4412,                 10.615,                0.04502,                 2.9488,                  2.334,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.5337,                 6.9646,                 0.1797,                 2.1099,                 1.5922,                0.40117,                0.28704,                0.25586,                0.10221,                0.00206,                0.16667,                0.01702,                 0.0017,                 2.3349,                 10.541,                0.04681,                 2.9816,                 2.2607,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.5896,                 6.9845,                0.16747,                 2.0377,                 1.6264,                0.59562,                0.31402,                 0.3015,                0.11757,                0.00212,                0.16667,                0.01323,                0.00132,                 2.2859,                 10.598,                0.05073,                 2.9825,                 2.2437,             0.00018709,             0.00018709,             0.00018709
