                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5336,                 5.3182,                0.41465,                 3.0366,                 1.7236,                0.70043,                0.70591,                0.76221,                0.47378,                0.22562,                    0.5,                 0.3037,                0.08636,                0.87847,                 4.4207,                0.18623,                 9.3479,                 1.3799,             0.00028886,             0.00028886,             0.00028886
                      2,                 1.0387,                 4.6012,                 0.3195,                 1.8568,                 1.2606,                0.86382,                0.91994,                0.95609,                0.68584,                 0.3298,                0.48587,                0.40369,                0.12237,                0.72979,                 4.6968,                 0.1217,                 6.8068,                 1.2599,               0.000583,               0.000583,               0.000583
                      3,                0.99817,                 4.7909,                0.30779,                  1.546,                 1.2456,                0.90479,                0.77869,                0.86368,                0.60889,                0.43799,                 0.2625,                0.28718,                 0.0937,                 1.1648,                 5.6709,                0.20239,                 5.5478,                 1.5666,              0.0008712,              0.0008712,              0.0008712
                      4,                0.98943,                 4.9541,                0.30218,                 1.3971,                 1.2283,                0.89618,                0.98268,                0.96824,                 0.6764,                 0.3153,                  0.425,                0.32899,                0.08155,                 1.0062,                 4.9619,                0.06262,                 6.2641,                 1.5009,               0.001078,               0.001078,               0.001078
                      5,                0.96752,                  4.839,                0.29236,                 1.2826,                 1.2283,                0.88686,                      1,                0.99045,                0.75344,                0.49897,                   0.55,                0.51002,                0.14187,                0.72281,                 5.0594,                0.16749,                  3.752,                 1.2771,               0.001078,               0.001078,               0.001078
                      6,                0.97187,                 4.4858,                0.29004,                 1.1624,                 1.2061,                0.88038,                0.99316,                0.97682,                0.68264,                0.42593,                0.49132,                0.49392,                0.12155,                0.88629,                 4.5667,                  0.126,                 4.6838,                 1.3313,               0.001067,               0.001067,               0.001067
                      7,                0.91293,                 4.4395,                0.29265,                 1.0958,                 1.1796,                0.93198,                0.94753,                0.98381,                0.76278,                0.43468,                0.47401,                0.43899,                0.12133,                0.99337,                 4.6293,                0.11851,                 2.8746,                 1.4441,               0.001056,               0.001056,               0.001056
                      8,                0.90497,                 4.4066,                0.29084,                 1.0982,                 1.1854,                0.92569,                0.93928,                0.98173,                0.72126,                0.44519,                0.45821,                0.43321,                 0.1691,                0.85395,                 4.2747,                0.04556,                 1.8535,                 1.3491,               0.001045,               0.001045,               0.001045
                      9,                0.88348,                 4.3172,                0.28184,                 1.0308,                 1.1771,                0.92437,                0.93596,                0.95397,                0.72802,                0.56654,                0.57435,                0.52381,                 0.1884,                0.99011,                 3.9517,                0.03996,                 1.8918,                 1.4691,               0.001034,               0.001034,               0.001034
                     10,                  0.893,                 4.2509,                0.28062,                0.98109,                 1.1705,                0.93573,                0.92057,                0.98818,                0.75528,                0.41289,                   0.55,                0.50974,                0.20995,                0.69475,                 4.8533,                 0.0876,                 2.5129,                 1.1844,               0.001023,               0.001023,               0.001023
                     11,                0.89449,                 4.3045,                 0.2702,                0.98299,                 1.1907,                0.92802,                0.95535,                0.99045,                0.67977,                0.65092,                   0.65,                0.60479,                0.23461,                0.91539,                 3.8924,                0.03857,                 3.0572,                 1.2899,               0.001012,               0.001012,               0.001012
                     12,                0.85205,                 4.3274,                0.27318,                0.92415,                 1.1501,                0.95332,                0.98607,                0.98136,                0.76018,                 0.5022,                0.53375,                 0.4385,                0.16985,                 0.8187,                 4.7164,                0.13193,                 1.8697,                 1.3061,               0.001001,               0.001001,               0.001001
                     13,                0.83952,                 4.0238,                0.27554,                0.84473,                 1.1308,                0.96648,                0.97324,                0.98136,                0.76604,                0.49381,                0.58256,                0.49619,                0.19318,                0.70845,                 4.8657,                0.12097,                 2.3426,                 1.1351,             0.00099001,             0.00099001,             0.00099001
                     14,                0.85229,                 4.0762,                0.26929,                 0.8623,                 1.1239,                0.93708,                0.91847,                0.98625,                 0.7229,                0.52653,                   0.55,                0.52207,                0.20567,                0.96533,                 4.2809,                0.12183,                 2.2213,                 1.4139,             0.00097901,             0.00097901,             0.00097901
                     15,                0.83678,                 4.2545,                0.28314,                0.86508,                 1.1476,                0.97492,                 0.9325,                  0.995,                0.76628,                0.52901,                   0.55,                 0.5102,                0.23521,                0.66938,                 4.2101,                0.05738,                 2.3229,                 1.1144,             0.00096801,             0.00096801,             0.00096801
                     16,                0.83711,                  4.113,                0.27381,                0.82736,                 1.1527,                0.95095,                0.96817,                0.98591,                0.78471,                0.51326,                   0.55,                0.51419,                0.21219,                0.61186,                 4.3091,                0.08621,                 1.7708,                 1.1302,             0.00095702,             0.00095702,             0.00095702
                     17,                0.79983,                 3.9862,                  0.253,                0.76837,                 1.1242,                0.95714,                0.96912,                0.99045,                0.79734,                0.51573,                   0.55,                0.52427,                0.19628,                0.69261,                 4.4108,                0.03694,                 1.9273,                 1.1418,             0.00094602,             0.00094602,             0.00094602
                     18,                0.80385,                 3.9936,                0.26701,                0.76084,                  1.132,                 0.9507,                0.97273,                0.99045,                0.72375,                0.46548,                    0.5,                 0.4954,                0.17519,                0.86897,                 4.5778,                0.07642,                 3.0532,                 1.2341,             0.00093502,             0.00093502,             0.00093502
                     19,                0.80775,                 3.8973,                0.26092,                0.75661,                 1.1322,                0.96025,                0.97032,                0.98364,                0.75155,                0.51524,                   0.55,                  0.522,                0.23948,                0.77016,                 3.8354,                0.09968,                 1.7037,                 1.3208,             0.00092402,             0.00092402,             0.00092402
                     20,                0.79127,                 3.8928,                0.24086,                0.73182,                 1.1165,                0.95151,                0.99324,                0.99045,                0.77451,                  0.509,                0.54821,                0.52247,                0.20658,                0.80102,                 4.1421,                0.09405,                 3.6622,                  1.281,             0.00091302,             0.00091302,             0.00091302
                     21,                0.78779,                 3.7996,                0.24608,                0.75696,                 1.1123,                0.95218,                 0.9342,                0.99062,                0.75606,                0.51924,                   0.55,                0.51194,                0.21478,                0.94106,                 4.1958,                0.04546,                 2.4616,                 1.3989,             0.00090202,             0.00090202,             0.00090202
                     22,                0.78541,                 3.7065,                0.24719,                0.73192,                 1.1125,                0.97411,                0.95351,                 0.9845,                0.79691,                0.47963,                    0.5,                 0.4975,                0.21272,                 0.7516,                 3.9586,                0.02975,                 1.9245,                 1.1691,             0.00089102,             0.00089102,             0.00089102
                     23,                0.79436,                 3.6414,                0.24156,                0.75481,                 1.1139,                0.94467,                0.97199,                0.98818,                0.80896,                0.45558,                    0.5,                0.50088,                0.18337,                0.73289,                 4.2618,                0.05467,                 2.5919,                 1.2138,             0.00088002,             0.00088002,             0.00088002
                     24,                0.75446,                 3.8148,                0.24462,                0.74905,                 1.0905,                0.94051,                0.95995,                0.98495,                 0.7596,                0.61316,                   0.65,                 0.6086,                0.20586,                0.86113,                 4.3799,                0.03965,                 2.2492,                 1.2581,             0.00086902,             0.00086902,             0.00086902
                     25,                0.76827,                 3.7044,                0.24406,                0.73155,                 1.0986,                 0.9628,                0.96429,                0.98608,                0.80001,                0.51801,                   0.55,                0.54524,                0.20915,                0.58647,                 4.4481,                0.03062,                 1.6767,                 1.1009,             0.00085803,             0.00085803,             0.00085803
                     26,                0.72927,                 3.5696,                0.23403,                0.66491,                 1.0774,                0.94806,                0.98638,                0.99273,                0.78918,                0.51123,                   0.55,                0.55834,                0.23887,                0.63717,                 4.3278,                0.04792,                 2.4749,                 1.0891,             0.00084703,             0.00084703,             0.00084703
